Parameter name,Parameter shape,Parameter count
input_layer.weight,"torch.Size([256, 2])",512
input_layer.bias,torch.Size([256]),256
hidden_layers.0.weight,"torch.Size([1024, 256])",262144
hidden_layers.0.bias,torch.Size([1024]),1024
hidden_layers.1.weight,"torch.Size([2048, 1024])",2097152
hidden_layers.1.bias,torch.Size([2048]),2048
hidden_layers.2.weight,"torch.Size([2048, 2048])",4194304
hidden_layers.2.bias,torch.Size([2048]),2048
hidden_layers.3.weight,"torch.Size([256, 2048])",524288
hidden_layers.3.bias,torch.Size([256]),256
hidden_layers.4.weight,"torch.Size([64, 256])",16384
hidden_layers.4.bias,torch.Size([64]),64
residual_connections.0.weight,"torch.Size([1024, 256])",262144
residual_connections.0.bias,torch.Size([1024]),1024
residual_connections.1.weight,"torch.Size([2048, 1024])",2097152
residual_connections.1.bias,torch.Size([2048]),2048
residual_connections.3.weight,"torch.Size([256, 2048])",524288
residual_connections.3.bias,torch.Size([256]),256
residual_connections.4.weight,"torch.Size([64, 256])",16384
residual_connections.4.bias,torch.Size([64]),64
ode_func.fc1.weight,"torch.Size([64, 64])",4096
ode_func.fc1.bias,torch.Size([64]),64
ode_func.fc2.weight,"torch.Size([64, 64])",4096
ode_func.fc2.bias,torch.Size([64]),64
ode_func.norm.weight,torch.Size([64]),64
ode_func.norm.bias,torch.Size([64]),64
output_layer.weight,"torch.Size([2, 64])",128
output_layer.bias,torch.Size([2]),2
