Parameter name,Parameter shape,Parameter count
input_layer.weight,"torch.Size([64, 2])",128
input_layer.bias,torch.Size([64]),64
hidden_layers.0.weight,"torch.Size([128, 64])",8192
hidden_layers.0.bias,torch.Size([128]),128
hidden_layers.1.weight,"torch.Size([128, 128])",16384
hidden_layers.1.bias,torch.Size([128]),128
hidden_layers.2.weight,"torch.Size([128, 128])",16384
hidden_layers.2.bias,torch.Size([128]),128
hidden_layers.3.weight,"torch.Size([256, 128])",32768
hidden_layers.3.bias,torch.Size([256]),256
hidden_layers.4.weight,"torch.Size([256, 256])",65536
hidden_layers.4.bias,torch.Size([256]),256
hidden_layers.5.weight,"torch.Size([128, 256])",32768
hidden_layers.5.bias,torch.Size([128]),128
hidden_layers.6.weight,"torch.Size([64, 128])",8192
hidden_layers.6.bias,torch.Size([64]),64
hidden_layers.7.weight,"torch.Size([32, 64])",2048
hidden_layers.7.bias,torch.Size([32]),32
hidden_layers.8.weight,"torch.Size([32, 32])",1024
hidden_layers.8.bias,torch.Size([32]),32
hidden_layers.9.weight,"torch.Size([16, 32])",512
hidden_layers.9.bias,torch.Size([16]),16
hidden_layers.10.weight,"torch.Size([4, 16])",64
hidden_layers.10.bias,torch.Size([4]),4
hidden_layers.11.weight,"torch.Size([2, 4])",8
hidden_layers.11.bias,torch.Size([2]),2
residual_connections.0.weight,"torch.Size([128, 64])",8192
residual_connections.0.bias,torch.Size([128]),128
residual_connections.3.weight,"torch.Size([256, 128])",32768
residual_connections.3.bias,torch.Size([256]),256
residual_connections.5.weight,"torch.Size([128, 256])",32768
residual_connections.5.bias,torch.Size([128]),128
residual_connections.6.weight,"torch.Size([64, 128])",8192
residual_connections.6.bias,torch.Size([64]),64
residual_connections.7.weight,"torch.Size([32, 64])",2048
residual_connections.7.bias,torch.Size([32]),32
residual_connections.9.weight,"torch.Size([16, 32])",512
residual_connections.9.bias,torch.Size([16]),16
residual_connections.10.weight,"torch.Size([4, 16])",64
residual_connections.10.bias,torch.Size([4]),4
residual_connections.11.weight,"torch.Size([2, 4])",8
residual_connections.11.bias,torch.Size([2]),2
ode_func.fc1.weight,"torch.Size([2, 2])",4
ode_func.fc1.bias,torch.Size([2]),2
ode_func.fc2.weight,"torch.Size([2, 2])",4
ode_func.fc2.bias,torch.Size([2]),2
ode_func.norm.weight,torch.Size([2]),2
ode_func.norm.bias,torch.Size([2]),2
output_layer.weight,"torch.Size([2, 2])",4
output_layer.bias,torch.Size([2]),2
