Parameter name,Parameter shape,Parameter count
lstm.weight_ih_l0,"torch.Size([1024, 82])",83968
lstm.weight_hh_l0,"torch.Size([1024, 256])",262144
lstm.bias_ih_l0,torch.Size([1024]),1024
lstm.bias_hh_l0,torch.Size([1024]),1024
lstm.weight_ih_l0_reverse,"torch.Size([1024, 82])",83968
lstm.weight_hh_l0_reverse,"torch.Size([1024, 256])",262144
lstm.bias_ih_l0_reverse,torch.Size([1024]),1024
lstm.bias_hh_l0_reverse,torch.Size([1024]),1024
lstm.weight_ih_l1,"torch.Size([1024, 512])",524288
lstm.weight_hh_l1,"torch.Size([1024, 256])",262144
lstm.bias_ih_l1,torch.Size([1024]),1024
lstm.bias_hh_l1,torch.Size([1024]),1024
lstm.weight_ih_l1_reverse,"torch.Size([1024, 512])",524288
lstm.weight_hh_l1_reverse,"torch.Size([1024, 256])",262144
lstm.bias_ih_l1_reverse,torch.Size([1024]),1024
lstm.bias_hh_l1_reverse,torch.Size([1024]),1024
lstm.weight_ih_l2,"torch.Size([1024, 512])",524288
lstm.weight_hh_l2,"torch.Size([1024, 256])",262144
lstm.bias_ih_l2,torch.Size([1024]),1024
lstm.bias_hh_l2,torch.Size([1024]),1024
lstm.weight_ih_l2_reverse,"torch.Size([1024, 512])",524288
lstm.weight_hh_l2_reverse,"torch.Size([1024, 256])",262144
lstm.bias_ih_l2_reverse,torch.Size([1024]),1024
lstm.bias_hh_l2_reverse,torch.Size([1024]),1024
lstm.weight_ih_l3,"torch.Size([1024, 512])",524288
lstm.weight_hh_l3,"torch.Size([1024, 256])",262144
lstm.bias_ih_l3,torch.Size([1024]),1024
lstm.bias_hh_l3,torch.Size([1024]),1024
lstm.weight_ih_l3_reverse,"torch.Size([1024, 512])",524288
lstm.weight_hh_l3_reverse,"torch.Size([1024, 256])",262144
lstm.bias_ih_l3_reverse,torch.Size([1024]),1024
lstm.bias_hh_l3_reverse,torch.Size([1024]),1024
lstm.weight_ih_l4,"torch.Size([1024, 512])",524288
lstm.weight_hh_l4,"torch.Size([1024, 256])",262144
lstm.bias_ih_l4,torch.Size([1024]),1024
lstm.bias_hh_l4,torch.Size([1024]),1024
lstm.weight_ih_l4_reverse,"torch.Size([1024, 512])",524288
lstm.weight_hh_l4_reverse,"torch.Size([1024, 256])",262144
lstm.bias_ih_l4_reverse,torch.Size([1024]),1024
lstm.bias_hh_l4_reverse,torch.Size([1024]),1024
lstm.weight_ih_l5,"torch.Size([1024, 512])",524288
lstm.weight_hh_l5,"torch.Size([1024, 256])",262144
lstm.bias_ih_l5,torch.Size([1024]),1024
lstm.bias_hh_l5,torch.Size([1024]),1024
lstm.weight_ih_l5_reverse,"torch.Size([1024, 512])",524288
lstm.weight_hh_l5_reverse,"torch.Size([1024, 256])",262144
lstm.bias_ih_l5_reverse,torch.Size([1024]),1024
lstm.bias_hh_l5_reverse,torch.Size([1024]),1024
lstm.weight_ih_l6,"torch.Size([1024, 512])",524288
lstm.weight_hh_l6,"torch.Size([1024, 256])",262144
lstm.bias_ih_l6,torch.Size([1024]),1024
lstm.bias_hh_l6,torch.Size([1024]),1024
lstm.weight_ih_l6_reverse,"torch.Size([1024, 512])",524288
lstm.weight_hh_l6_reverse,"torch.Size([1024, 256])",262144
lstm.bias_ih_l6_reverse,torch.Size([1024]),1024
lstm.bias_hh_l6_reverse,torch.Size([1024]),1024
fcs.0.weight,"torch.Size([1024, 513])",525312
fcs.0.bias,torch.Size([1024]),1024
fcs.1.weight,"torch.Size([4096, 1024])",4194304
fcs.1.bias,torch.Size([4096]),4096
fcs.2.weight,"torch.Size([8192, 4096])",33554432
fcs.2.bias,torch.Size([8192]),8192
fcs.3.weight,"torch.Size([4096, 8192])",33554432
fcs.3.bias,torch.Size([4096]),4096
fcs.4.weight,"torch.Size([1024, 4096])",4194304
fcs.4.bias,torch.Size([1024]),1024
fcs.5.weight,"torch.Size([256, 1024])",262144
fcs.5.bias,torch.Size([256]),256
layer_norms.0.weight,torch.Size([1024]),1024
layer_norms.0.bias,torch.Size([1024]),1024
layer_norms.1.weight,torch.Size([4096]),4096
layer_norms.1.bias,torch.Size([4096]),4096
layer_norms.2.weight,torch.Size([8192]),8192
layer_norms.2.bias,torch.Size([8192]),8192
layer_norms.3.weight,torch.Size([4096]),4096
layer_norms.3.bias,torch.Size([4096]),4096
layer_norms.4.weight,torch.Size([1024]),1024
layer_norms.4.bias,torch.Size([1024]),1024
layer_norms.5.weight,torch.Size([256]),256
layer_norms.5.bias,torch.Size([256]),256
fc_out.weight,"torch.Size([2, 256])",512
fc_out.bias,torch.Size([2]),2
