Parameter name,Parameter shape,Parameter count
model.0.weight,"torch.Size([64, 85])",5440
model.0.bias,torch.Size([64]),64
model.2.weight,torch.Size([64]),64
model.2.bias,torch.Size([64]),64
model.4.weight,"torch.Size([128, 64])",8192
model.4.bias,torch.Size([128]),128
model.6.weight,torch.Size([128]),128
model.6.bias,torch.Size([128]),128
model.8.weight,"torch.Size([128, 128])",16384
model.8.bias,torch.Size([128]),128
model.10.weight,torch.Size([128]),128
model.10.bias,torch.Size([128]),128
model.12.weight,"torch.Size([64, 128])",8192
model.12.bias,torch.Size([64]),64
model.14.weight,torch.Size([64]),64
model.14.bias,torch.Size([64]),64
model.16.weight,"torch.Size([2, 64])",128
model.16.bias,torch.Size([2]),2
